nn;chapter;article;paragraph;name;summ
;;;а;путевое пособіе;5800
;;;б;прибавочное жалованье ;6600
;;;в;пособія на воспитаніе д?тей;2100
283;3;;;Разные расходы администраціи;230000
;;1;;Путевое довольствіе;30000
;;2;;Расходы по выдач? привилегій и свид?гельствъ на товарные знаки ;200000
;;;;Просв?щеніе, науки и искусства;None
284;4;;;Содержаніе высшихъ учебныхъ заведеній;2096450
;;1;;Политехническіе институты въ Варшав?, Кіев?, С-Петербург? и Новочеркасск? (Донской):;1764561
;;;а;личный составъ;1000811
;;;б;учебная часть ;369850
;;;в;стипендіи;32400
;;;г;канцелярскіе и хозяйственные расходы;347500
;;;д;награды и пособія служащимъ;14000
;;2;;Горный Институть Императрицы Екатерины II:;222686
;;;а;личный составъ ;105271
;;;б;учебная часть ;27500
;;;в;стипендіи и пособія учащимся;16620
;;;г;канделярскіе и хозяйственные расходы;70295
;;;д;награды и пособія служащимъ;3000
;;3;;Екатеринославское высшее горное училище:;109203
;;;а;личный составъ;74603
;;;б;учебная часть ;17500
;;;в;канцелярскіе и хозяйственные расходы;17100
285;5;;;Содержаніе среднихъ учебныхъ заведеній;137669
;;1;;Императорское Строгановское центральное художественно-промышленное училище въ Москв?:;137669
;;;а;личный составъ;110149
;;;б;учебная часть ;5800
;;;в;канцелярскіе и хозяйственные расходы;21720
286;6;;;Содержаніе низшихъ учебныхъ заведеній;284095
;;1;;Александровское техническое училище въ г Череповц?, Симбирское ремесленное училище графа В В Орлова-Давыдова, механико-оптическое и часовое отд?леніе въ ремесленномъ училищ? Цесаревича Николая въ С-Петербург? и сельскія ремесленныя учебныя мастерскія:;155968
;;;а;личный составъ;82594
;;;б;учебная часть;17372
;;;в;канцелярскіе и хозяйственные расходы;56002
;;2;;Горныя училища и школы:;128127
;;;а;личный составъ;53605
;;;б;учебная часть ;15220
;;;в;стипендіи и пособія учащимся;12720
;;;г;канцелярскіе и хозяйственные расходы;40170
;;;д;на усиленіе средствъ;6412
287;7;;;Расходы, относящіеея ко вс?мъ учебнымъ заведеніямъ в?домства;663875
;;1;;Третное не въ зачетъ жалованье ;21000
;;2;;На подготовленіе къ званію преподавателей;12000
;;3;;Пособія на учебныя заведенія, содержимыя за счетъ постороннихъ источниковъ;605125
;;4;;Пособія на воспитаніе д?тей;1150
;;5;;Выдачи по м?стнымъ привилегiямъ службы:;24600
;;;а;путевое пособіе;6800
;;;б;прибавочное жалованье ;16100
;;;в;пособія на воспитаніе д?тей;1700
288;8;;;Расходы строительные, по оборудованію и капитальному ремонту учебныхъ заведеній;18205
;;1;;На строительныя и ремонтныя работы по Лисичанской штейгерской школ?;18205
;;;;М?ры поощренія торговли и промышленности;None
289;9;;;Расходы на м?ропріятія въ ц?ляхъ поощренія торговли и промышленности;406666
;;1;;Пособія на содержаніе техническихъ обществъ, музеевъ прикладныхъ знаній, на изданіе журналовъ по вопросамъ профессіональнаго образованія и др ;62911
;;2;;На разныя м?ропріятія въ ц?ляхъ поощренія торговли и промышленности:;195000
;;;а;на пособія организаціямъ и отд?льнымъ лицамъ, пресл?дующимъ ц?ли развитія торговли и промышленности;113500
;;;б;расходы на изданія и учебныя пособія;65100
;;;в;на вознагражденіе лицъ, не принадлежащихъ къ составу центральныхъ учрежденій Министерства Торговли и Промышленности, за порученныя имъ работы, командировки ихъ и пр;4000
;;;г;расходы по содержанію Справочной части при Отд?л? Торговли;12400
;;3;;Возвратъ пошлинъ на золотыя и серебряныя изд?лія, вывозимыя за границу;4000
;;4;;На покрытіе издержекъ консуловъ по доставленію св?д?ній, до торговли относящихся, и другихъ расходовъ;1500
;;5;;На содержаніе международнаго бюро метрическихъ м?ръ и в?совъ въ Париж?;5655
;;6;;На расходы по участію Россіи на международной сахарной конвенціи въ Брюссел?;2600
;;7;;На расходы по выставкамъ;135000
;;;;Горный Департаментъ;25904272
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
290;1;;;Содержаніе центральныхъ учрежденій;257269
;;1;;Горный Департаментъ:;188923
;;;а;личный составъ;153321
;;;б;канцелярскіе и хозяйственные расходы;35602
;;2;;Горный Сов?тъ:;23848
;;;а;личный составъ;23748
;;;б;канцелярскіе и хозяйственные расходы;100
;;3;;Горный Ученый Комитетъ:;34248
;;;;личный составъ;34248
;;4;;Состоящіе по Главному Горному Управленію;10250
291;2;;;Содержаніе м?стныхъ учрежденій;1574072
;;1;;Горныя Управленія:;321785
;;;а;личный составъ;255376
;;;б;канцелярскіе и хозяйственные расходы;66409
;;2;;Надзоръ за закрытыми заводами, рудниками и промыслами:;41155
;;;а;личный составъ;13724
;;;б;канцелярскіе и хозяйственные расходы;27431
;;3;;Надзоръ за частными и находящимися въ частной эксплоатаціи заводами и промыслами:;907277
;;;а;личный составъ;732496
;;;б;канцелярскіе и хозяйственные расходы;174781
;;4;;Управленіе горнозаводскими л?сами:;265471
;;;а;личный составъ;67064
;;;б;канцелярскіе и хозяйственные расходы;198407
;;5;;Выдачи по м?стнымъ привилегіямъ службы:;38384
;;;а;путевыя пособія;4600
;;;б;прибавочное жалованье;32658
;;;в;пособія на воспитаніе д?тей;1126
292;3;;;Разные расходы администраціи;94057
;;1;;Путевое довольствіе;32000
;;2;;Награды и пособія;35577
;;3;;Пособія на воспитаніе д?тей чиновъ горнаго в?домства;26480
293;4;;;Разные расходы по управленію;111900
;;1;;Техническія командировки и производство горнотехническихъ и заводско-техническихъ изсл?дованій и изысканій;58400
;;2;;Изданія Горнаго Департамента:;41700
;;;а;Изданіе «Горнаго Журнала»;17000
;;;б;Изданіе обзоровъ, записокъ, картъ, плановъ и проч;24700
;;3;;Расходы по практической подготовк? горныхъ инженеровъ;6000
;;4;;Межевыя и другія работы для подготовки къ эксплоатаціи горнозаводскихъ статей и имуществъ;5800
294;5;—;;Расходы на геологическія изсл?дованія и изысканія;796960
;;;;Просв?щенiе, науки и искусства;None
295;6;;;Содержаніе ученыхъ учрежденій;None
;;1;;Геологическій Комитетъ:;102558
;;;а;личный составъ;39798
;;;б;ученая часть и изсл?дованія;31000
;;;в;наемъ и содержаніе пом?щеній;26260
;;;г;канцелярскіе и хозяйственные расходы;5500
;;;;Постройка зданій и пріобр?теніе недвижимыхъ имуществъ;None
296;7;;;Сооруженіе и ремонтъ зданій;1476622
;;1;;Постройка зданій, пріобр?теніе недвижимыхъ имуществъ, приспособленіе и оборудованіе пом?щеній;1378894
;;2;;Ремонтъ;97728
;;;;Пособiя и вознагражденія по разнымъ случаямъ;None
297;8;;;Пособія по разнымъ случаямъ;329639
;;1;;Императорскому Минералогическому Обществу;3000
;;2;;На содержаніе Хлудовской больницы;7454
;;3;;Пособіе казеннымъ минеральнымъ водамъ;319185
298;9;;;Вознагражденіе за отошедшіе въ казну имущества, доходы и др;1535
;;1;;Башкирамъ-вотчинникамъ Міасской дачи;1535
;;;;Расходы по пенсіонному обезпеченію служащихъ и аренды;None
299;10;;;Пенсіи и пенсіонныя пособія изъ казны;229995
;;1;;Расходы по участію казны въ кассахъ горнозаводскихъ товариществъ, а также по выдач? пособій и пенсій н?которымъ горнозаводскимъ рабочимъ;229995
;;;;Казенныя операціи;None
;;;;Операцiи казенныхъ горныхъ заводовъ и золотосплавочныхъ лабораторий;None
300;11;;;Содержаніе учрежденій по зав?дыванію казенными предпріятіями;743592
;;1;;Управленіе казенными горными заводами и копями:;570670
;;;а;личный составъ;353897
;;;б;канцелярскіе и хозяйственные расходы;216773
;;2;;Управленіе минеральными водами:;5866
;;;а;личный составъ;375
;;;б;канцелярскіе и хозяйственные расходы;5491
;;3;;Золотосплавочныя лабораторіи:;34674
;;;а;личный составъ;24874
;;;б;канцелярскіе и хозяйственные расходы;9800
;;4;;Управленія солеваренными заводами:;9482
;;;а;личный составъ;7982
;;;б;канцелярскіе и хозяйственные расходы;1500
;;5;;Госпитали, аптеки и богад?льни:;122900
;;;а;личный составъ;53293
;;;б;канцелярскіе и хозяйственные расходы;69607
301;12;;;Операціонные расходы казенныхъ предпріятій;19159791
;;1;;Казенные горные заводы:;17377885
;;;а;заготовка матеріаловъ;5574000
;;;б;рабочая плата ;10896500
;;;в;расходы по доставк? грузовъ къ м?стамъ назначенія;660000
;;;г;заготовленіе провіанта для продажи горнозаводскимъ рабочимъ;167885
;;;д;л?соустройство и тушеніе пожаровъ въ горнозаводскихъ дачахъ;36500
;;;е; исправленіе проселочныхъ дорогъ;18000
;;;ж; производство на горныхъ заводахъ опытовъ, вызываемыхъ новыми потребностями вооруженія арміи и флота;25000
;;2;;Сучанская каменноугольная копь:;1528791
;;;а;на операціи копей ;855250
;;;б;на эксплоатацію Сучанской в?тки;349070
;;;в;на д?йствіе брикетной фабрики;324471
;;3;;Золотосплавочныя лабораторіи:;65700
;;;а;сплавъ частнаго золота и переплавка соровъ ;18100
;;;б;доставка золота въ золотосплавочныя лабораторіи и на Монетный Дворъ ;42500
;;;в;заготовленіе бланковъ ассигновокъ на золото;600
;;;г;производство химическихъ анализовъ;4500
;;4;;Казенные солеваренные заводы:;187415
;;;а;расходы по выварк? соли;162415
;;;б;расходы по перевозк? соли;25000
302;13;;;Уплата сборовъ съ казенныхъ имуществъ;1026282
;;1;;Земскіе и гминные сборы;1026282
;;;;По части торговаго мореплаванія и портовъ;17080538
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
303;1;;;Содержаніе центральныхъ учрежденій;407699
;;1;;Сов?тъ по д?ламъ торговаго мореплаванія, техническій сов?тъ и инспекторы торговаго мореплаванія и портовъ;48438
;;2;;Отд?лъ торговаго мореплаванія:;117939
;;;а;личный составъ;89939
;;;б;канцелярскіе и хозяйственные расходы;18000
;;;в;статистическія работы;10000
;;3;;Отд?лъ торговыхъ портовъ:;142822
;;;а;личный составъ;128192
;;;б;канцелярскіе и хозяйственные расходы;14630
;;4;;Наемъ и содержаніе пом?щенія;66000
;;5;;Награды и пособія;30000
;;6;;Пособія на воспитаніе д?тей ;2500
304;2;;;Разные расходы администраціи;25000
;;1;;Путевое довольствіе;25000
305;3;;;Разные расходы по управленію;20000
;;1;;На изм?реніе купеческихъ судовъ по систом? Мурсома ;1000
;;2;;На расходы по освид?тельствованію судовъ ;19000
;;;;Пути сообщенія, кром? казенныхъ жел?зныхъ дорогъ, и порты;None
306;4;;;Содержаніе постоянной техническо-строительной администраціи въ коммерческихъ портахъ;288453
;;1;;Унравленіе строительною частью:;286927
;;;а;личный составъ;198280
;;;б;канцелярскіе и хозяйственные расходы;87647
;;;в;пособія на воспитаніе д?тей;1000
;;2;;Выдачи по м?стнымъ привилегіямъ службы:;1526
;;;а; прибавочное жалованье ;1526
307;5;—;;Изсл?дованія и изысканія въ портахъ и на морскихъ побережьяхъ и изданіе печатныхъ трудовъ по нимъ;44000
308;6;;;Новыя работы въ портахъ;4681200
;;1;;Новыя работы въ существующихъ портахъ;3481200
;;2;;Заготовка судовъ и снарядовъ для текущихъ надобностей портовъ;1200000
309;7;;;Ремонтъ и содержаніе портовыхъ сооруженій;4432277
;;1;;Капитальный ремонтъ;624200
;;2;;Обыкновенный ремонтъ и содержаніе;308000
;;3;;Содержаніе, д?йствіе и ремонтъ землечерпательницъ, пароходовъ, землеотвозныхъ и механическихъ приспособленій и ремонтныхъ мастерскихъ;3489390
;;4;;Вознагражденіе потерп?вшихъ всл?дствіе несчастныхъ случаевъ рабочихъ и служащихъ, а равно членовъ семействъ сихъ лицъ, въ состоящихъ въ в?д?ніи торговыхъ портовъ казенныхъ предпріятіяхъ;10687
;;;;М?ры поощренія торговли и промышленности;None
310;8;;;М?ры воспособленія мореходному промыслу;6940409
;;1;;Пособія на содержаніе пароходныхъ сообщеній;6127846
;;2;;На возвращеніе влад?льцамъ русскихъ паровыхъ судовъ пошлинъ, уплаченныхъ за проходъ помянутыхъ судовъ черезъ Суэзскій каналъ;800000
;;3;;На возвращеніе въ Россію изъ-за границы матросовъ купеческихъ судовъ ;12000
;;4;;На расходы по участію Россіи въ содержаніи Спартельскаго маяка ;563
311;9;;;М?ры воспособленія судостроенію;100000
;;;;На образованіе фонда для выдачи ссудъ на судостроеніе;100000
;;;;Просв?щенiе, науки и искусства;None
312;10;;;Содержаніе мореходныхъ учебныхъ заведеній;103200
;;1;;Мореходныя учебныя заведенія:;100660
;;;а;содержаніе;100360
;;;б;пособія на воспитаніе д?тей ;300
;;2;;Пособія мореходнымъ учебнымъ заведеніямъ;2540
;;;;Пособія и вознагражденіе по разнымъ случаямъ;None
313;11;;;Пособія по разньмъ случаямъ;38300
;;1;;Императорскому обществу спасанія на водахъ;26800
;;2;;Императорскому обществу для сод?йствія русскому торговому мореходству;5000
;;3;;Архангельскому отд?ленію Россійскаго общества Краснаго Креста ;500
;;4;;На выдачу призовъ яхтъ-клубамъ;6000
;;;;ГЛАВНОЕ УПРАВЛЕНІЕ ЗЕМЛЕУСТРОЙСТВА И ЗЕМЛЕД?ЛІЯ;116635647
;;;;Канцелярія Главноуправляющаго Землеустройствомъ и Землед?ліемъ;3229594
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
314;1;;;Содержаніе центральныхъ учрежденій;469254
;;1;;Главноуправляющій Землеустройствомъ и Землед?ліемъ и Товарищи его ;44290
;;2;;Сов?тъ Главноуправляющаго, Секретарь Главноуправляющаго, чиновники особыхъ порученій и состоящія по Главному Управленію лица;66604
;;3;;Ученый Комитетъ:;209231
;;;а;личный составъ;32451
;;;б;канцелярскіе и хозяйственные расходы;176780
;;4;;Инспекторы по частямъ сельскохозянственной, рыбной и л?сной;19475
;;5;;Канцелярія Главноуправляющаго Землеустройствомъ и Землед?ліемъ и Юрисконсультская часть:;89654
;;;а;личный составъ;70604
;;;б;канцелярскіе и хозяйственные расходы;19050
;;6;;Содержаніе домовъ и дачъ Главнаго Управленія Землеустройства и Землед?лія;40000
315;2;;;Содержаніе м?стныхъ учрежденій;1714340
;;1;;Управленія Землед?лія и Государственныхъ Имуществъ:;1658340
;;;а;личный составъ;1402573
;;;б;канцелярскіе и хозяйственные расходы;134400
;;;в;наемъ пом?щеній;119388
;;;г;приспособленіе и ремонтъ казенныхъ зданій, занимаемыхъ н?которыми Управленіями Государственныхъ Имуществъ;1979
;;2;;Выдачи по м?стнымъ привилегіямъ службы:;56000
;;;а;путевыя пособія;9000
;;;б;прибавочное жалованье;23600
;;;в;пособія на воспитаніе д?тей;23400
316;3;;;Разные расходы администраціи;288000
;;1;;Путевое довольствіе;130000
;;2;;Награды и пособія;78000
;;3;;На пособія отставнымъ чинамъ в?домства Главнаго Управленія Землеустройства и Землед?лія, вдовамъ и семействамъ;20000
;;4;;Пособія на воспитаніе д?тей;60000
317;4;;;Разные расходы по управленію;28000
;;1;;На изданіе журнала «Сельское Хозяйство и Л?соводство»;25000
;;2;;Пособіе на изданіе журнала «Журналъ Опытной Агрономіи»;3000
;;;;Расходы по пенсіонному обезпеченію служащихъ и аренды;None
318;5;;;Аренды;730000
;;1;;Аренды;580000
;;2;;На выдачу единовременныхъ и періодическихъ пособій и на другіе расходы но непосредственному Государя Императора указанію ;150000
;;;;Департаментъ Государственныхъ Земельныхъ Имуществъ;24802884
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
319;1;;;Содержаніе центральныхъ учрежденій;540770
;;1;;Департаментъ Государствснныхъ Земельныхъ Имуществъ;109431
;;;а;личный составъ ;97681
;;;б;канцелярскіе и хозяйственные расходы;11750
;;2;;Состоящіе при Департамент? чины по поземельному устройству сельскихъ обывателей;18339
;;3;;Д?лопроизводство Комитета но Землеустроительнымъ Д?ламъ:;190000
;;;а;личный составъ;105000
;;;б;канцелярскіе и хозяйственные расходы;60000
;;;в;изданія по вопросамъ землеустройства;25000
;;4;;Чиновники особыхъ порученій для ревизіи землеустроительныхъ работъ:;82000
;;;а;личный составъ;47000
;;;б;разъ?зды чиновниковъ особыхъ порученій для ревизіи землеустроительныхъ работъ и другихъ чиновъ центральнаго в?домства, командируемыхъ на м?ста по д?ламъ землеустройства;35000
;;5;;Чиновники особыхъ порученій, состоящіе въ постоянномъ командированіи для исполненія обязанностей непрем?нныхъ членовъ губернскихъ землеустроительныхъ коммисій;141000
320;2;;;Содержаніе м?стныхъ учрежденій;99587
;;1;;Управленіе магометанскими кочевыми народами:;26135
;;;а;личный составъ;16591
;;;б;канцелярскіе и хозяйственные расходы;9544
;;2;;Управленіе им?ніями заграничныхъ духовныхъ установленій:;73452
;;;а;личный составъ;57352
;;;б;канцелярскіе и хозяйственные расходы;16100
321;3;;;Разные расходы администраціи;370725
;;1;;Путевое довольствіе и другіе экстренные расходы по зав?дыванію им?ніями заграничныхъ монастырей въ Бессарабской губерніи;3000
;;2;;Награды и пособія;360425
;;3;;Выдача прибавочнаго жалованья по м?стнымъ привилегіямъ службы чинамъ, состоящимъ въ в?д?ніи Денартамента Государственныхъ Земельныхъ Имуществъ;7300
;;;;Землеустройство и селъская промышленностъ;None
322;4;;;Содержаніе землеустроительныхъ коммисій;3486436
;;1;;Губернскія землеустроительныя коммисіи:;324300
;;;а;личный составъ;56400
;;;б;канцелярскіе и хозянственные расходы;173900
;;;в;разъ?зды ;94000
;;2;;У?здныя землеустроительныя коммисіи:;3162136
;;;а;личный составъ;1182136
;;;б;канцелярскіе и хозяйственные расходы;690000
;;;в;разъ?зды;690000
;;;г;выдача суточнаго вознагражденія и прогонныхъ денегь за участіе въ зас?даніяхъ выборнымъ членамъ коммисій отъ земства и крестьянъ ;600000
323;5;;;Землем?рная часть землеустроительныхъ коммисій;8449850
;;1;;Содержаніе личнаго состава:;7518750
;;;а;личный составъ;5040000
;;;б;вознагражденіе чиновъ техническаго надзора за землем?рною частыо и разъ?зды этихъ чиновъ;143350
;;;в;зад?льная плата ;1839000
;;;г;разъ?здныя деньги;496400
;;2;;Операціонные расходы:;931100
;;;а;операціонные расходы при землем?рныхъ работахъ;435100
;;;б;снабженіе землем?ровъ инструментами ;160000
;;;в;наемъ пом?щеній для камеральныхъ работъ и расходы по изготовленію плановъ и сопровождающихъ ихъ документовъ на землю для выдачи крестьянамъ;336000
324;6;;;Содержаніе землеотводныхъ партій:;None
;;1;;Землеотводныя партіи въ Европейской Россіи:;172674
;;;а;личный составъ;56200
;;;б;канцелярскіе и хозяйственные расходы;14300
;;;в;операціонные расходы;102174
325;7;;;Отряды по завершенію поземельнаго устройства сельскихъ обывателей;318350
;;1;;Въ горнозаводскихъ дачахъ на Урал?:;195000
;;;а;личный составъ;101530
;;;б;хозяйственно-операціонные расходы;93470
;;2;;Въ Закавказскомъ кра?:;123350
;;;а;личный составъ;108870
;;;б;хозяйственно-операціонные расходы;14480
326;8;;;Пособія на землеустройство;9221753
;;1;;Ссуды крестьянамъ на переносъ и улучшеніе усадебныхъ построекъ, обводненіе, осушеніе и другіе расходы, связанные съ изм?неніемъ порядковъ землепользованія;7443600
;;2;;Безвозвратныя пособія крестьянамъ при землеустройств?;621000
;;3;;Помощь крестьянамъ, водворяемымъ на переселенческихъ участкахъ Европейской Россіи:;157153
;;;а;врачебно-продовольственная помощь;26553
;;;б;ссуды и пособія;130600
;;4;;На выдачу ссудъ и на нужды огнестойкаго строительства при землеустройств? ;1000000
;;;;Расходы по пенсіонному обезпеченію служащихъ и аренды;None
327;9;;;Уплата доходовъ взам?нъ Высочайше пожалованныхъ им?ній въ губерніяхъ Царства Польскаго и взам?нъ оброка въ Высочайше пожалованныхъ им?ніяхъ Лифляндской губерніи;32234
;;1;;Уплата доходовъ взам?нъ Вьісочайше пожалованныхъ им?ній въ губерніяхъ Царства Польскаго ;21734
;;2;;Уплата влад?льцамъ Всемилостив?йше пожалованныхъ им?ній въ Лифляндской губерніи денежнаго вознагражденія взам?нъ оброка, взимавшагося съ крестьянскихъ земель ;10500
;;;;Казенныя операціи;None
;;;;Разныя хозяйственныя операціи казны;None
328;10;;;Зав?дываніе казенными землями и оброчными статьями;650505
;;1;;Содержаніе учрежденіи и чиновъ:;365505
;;;а;личный составъ;354505
;;;б;канцелярскіе и хозяйственные расходы;6800
;;;в;разъ?зды ;4200
;;2;;Операціонные расходы по приведенію въ изв?стность, обмежеванію и эксплоатаціи казенныхъ земель ;225000
;;3;;Расходы по веденію счетоводства и взиманію платежей за продаваемыя крестьянамъ казенныя земли;60000
329;11;;;Уплата сборовъ съ казенныхъ имуществъ;1460000
;;1;;Земскіе и гминные сборы;1460000
;;;;Департаментъ Землед?лія;21879841
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
330;1;;;Содержаніе центральныхъ учрежденій;None
;;1;;Денартаментъ Землед?лія:;115913
;;;а;личный составъ;92759
;;;б;канцелярскіе и хозяйственные расходы;23154
331;2;;;Содержаніе м?стныхъ учрежденій;681155
;;1;;Инспекторы сельскаго хозяйства:;133997
;;;а;личный составъ;127497
;;;б;на пріобр?теніе пособій и изданій;6500
;;2;;Управленіе и охрана водныхъ промысловъ:;525658
;;;а;личный составъ;302147
;;;б;канцелярскіе и хозяйственные расходы;205211
;;;в;усиленіе береговой охраны Командорскихъ острововъ;10000
;;;г;наемъ пом?щеній;8300
;;3;;Выдачи по м?стнымъ привилегіямъ службы:;21500
;;;а;прибавочное жалованье;6500
;;;б;путевыя пособія;15000
332;3;;;Разные расходы администраціи;202296
;;1;;Путевое доволъствіе по командировкамъ;160000
;;2;;Награды и пособія;42296
333;4;;;Разные расходы по управленію;295301
;;1;;Уплата жителямъ Командорскихъ острововъ за производство пушныхъ промысловъ;40000
;;2;;Изданія по сельскому хозяйству;250000
;;3;;Отчисленіе въ основной капиталъ ссудной кассы для морскихъ ловцовъ въ Восточномъ Закавказь?;2301
;;4;;На публикаціи и случайныя издержки по зав?дыванію казенными рыболовными оброчными статьями;8000
;;;;Просв?щеніе, науки и искусства;None
334;5;;;Содержаніе высшихъ учебныхъ заведеній;234781
;;1;;Московскій Сельскохозяйственный Институтъ:;199771
;;;а;личный составъ;95681
;;;б;учебная часть;28700
;;;в;стипендіи и пособія студентамъ, содержаніе общежитія и столовой;15050
;;;г;канцелярскіе и хозяйственные расходы;60340
;;2;;На содержаніе Молочно-Хозяйственнаго Института:;35010
;;;а;личный составъ;29510
;;;б;учебная часть;3500
;;;г; содержаніе казенныхъ стипендіатовъ;2000
335;6;;;Содержаніе среднихъ учебныхъ заведеній;978128
;;1;;Сельскохозяйственныя училища и фермы:;863835
;;;а;личный составъ;389997
;;;б;учебная часть;60245
;;;в;содержаніе частныхъ пансіонеровъ;97270
;;;г;стипендіи и пособія учащимся;92500
;;;д;канделярскіе и хозяйственные расходы;223823
;;2;;Пособія земствамъ и обществамъ на содержаніе среднихъ сельскохозяйственныхъ учебныхъ заведеній;114293
336;7;;;Содержаніе низшихъ учебныхъ заведеній и другія м?ры сод?йствія сельскохозяйственному образованію;2306812
;;1;;Низшія сельскохозяйственныя учебныя заведенія и фермы:;574466
;;;а;личный составъ;328507
;;;б;учебная часть ;22091
;;;в;содержаніе частныхъ пансіонеровъ;20050
;;;г;стипендіи и пособія учащимся;75190
;;;д;канцелярскіе и хозяйственные расходы;128628
;;2;;Пособія земствамъ, обществамъ и частнымъ лицамъ на содержаніе низшихъ сельскохозяйственныхъ школъ;986426
;;3;;Устройство и содержаніе сельскохозяйственныхъ курсовъ и чтеній;653700
;;4;;Пособія на содержаніе постоянныхъ сельскохозяйственныхъ курсовъ ;92220
337;8;;;Разные расходы по вс?мъ учебнымъ заведеніямъ;364600
;;1;;Учебныя пособія;22000
;;2;;Подготовлеиіе профессоровъ и учителей и устройство педагогическихъ съ?здовъ ;22600
;;3;;Практическая подготовка но различнымъ отраслямъ сельскаго хозяйства;305000
;;4;;Третное, не въ зачетъ, жалованье учителямъ;15000
;;;;Землеустройство и сельская промышленностъ;None
338;9;;;Содержаніе техниковъ по сельскохозяйственной части;2138111
;;1;;Спеціалисты по различнымъ отраслямъ сельскаго хозяйства;729011
;;2;;Инструкторы по сельскому хозяйству и лица, временно приглашаемыя;1152100
;;3;;Разъ?зды спеціалистовъ и инструкторовъ;242000
;;4;;Сельскохозяйственная агентура въ С?веро-Американскихъ Соединенныхъ Штатахъ;15000
339;10;;;Научныя, опытныя и показательныя сельскохозяйственныя учрежденія и пособія на содержаніе такихъ же учрежденій;2398523
;;1;;Императорскій Сельскохозянственный Музей:;69006
;;;а;личный составъ;8792
;;;б;хозяйственные и канцелярскіе расходы;60214
;;2;;Казенныя опытныя станціи и поля:;574900
;;;а;личный составъ;198486
;;;б;хозяйственные и канцелярскіе расходы;376414
;;3;;Казенныя сельскохозяйственныя лабораторіи:;75011
;;;а;личный составъ;35436
;;;б;хозяйственные и канцелярскіе расходы;39575
;;4;;Казенныя садовыя заведенія, питомники, плантаціи:;281784
;;;а;личный составъ;78709
;;;б;хозяйственные и канцелярскіе расходы;203075
;;5;;Пособія на устройство и содержаніе сельскохозяйственныхъ опытныхъ станцій и полей, контрольныхъ станцій, лабораторій, питомниковъ, плантацій, музеевъ и проч;1184315
;;6;;Сельскохозяйственно-метеорологическія станціи;70000
;;7;;Научныя и показательно-промысловыя учрежденія по части рыбоводства, рыболовства и охоты;143507
340;11;;;Общія м?ры по развитію и улучшенію различныхъ отраслей сельскаго хозяйства;3405421
;;1;;Полеводство, луговодство, садоводство, огородничество, виноградарство и др спеціальныя культуры;1015600
;;2;;Распространеніе усовершенствованныхъ сельскохозяйственныхъ орудій;656800
;;3;;Животноводство и молочное хозяйство;982000
;;4;;Шелководство и пчеловодство;100000
;;5;;Борьба съ вредителями сельскаго хозяйства ;113300
;;6;;Сельскохозяйственныя выставки ;290000
;;7;;Развитіе д?ятельности сельскохозяйственныхъ обществъ;247721
341;12;—;;М?ры непосредственной агрономической помощи въ заселяемыхъ раіонахъ;1200000
342;13;—;;На агрономическую помощь населенію въ раіонахъ землеустройства;5300000
;;;;Постройка зданій и пріобр?теніе недвижимыхъ имуществъ;None
343;14;;;Сооруженіе и ремонтъ зданій;2258800
;;1;;Постройка зданій, пріобр?теніе недвижимыхъ имуществъ и оборудованіе пом?щеній;1743535
;;2;;Пособія земствамъ и обществамъ и др учрежденіямъ на единовременные расходы по устройству сельскохозяйственныхъ учебныхъ заведеній ;295265
;;3;;Ремонтъ ;220000
;;;;Отд?лъ Сельской Экономіи и Сельскохозяйственной Статистики;3002961
;;;;Гражданское управленіе;None
;;;;Общіе расходы по управленію;None
344;1;;;Содержаніе центральныхъ учрежденій;74717
;;1;;Содержаніе Отд?ла Сельской Экономіи и Сельскохозяйственной Статистики:;67717
;;;а;личный составъ;57427
;;;б;канцелярскіе и хозяйственные расходы;7140
;;;в;пособія и награды;3150
;;2;;Расходы по Сельскохозяйственному Сов?ту;7000
345;2;;;Разные расходы администраціи;10000
;;1;;Путевое довольствіе;10000
346;3;;;Разные расходы по управленію;87000
;;1;;;78000
;;;а;На производство статистико-экономическихъ изсл?дованій и изданій;58000
;;;б;на подготовительныя для предстоящихъ торговыхъ договоровъ изсл?дованія;20000
;;2;;Расходы по участію въ международномъ сельскохозяйственномъ институт? въ Рим?;9000
;;;;Землеустройство и сельская промышленностъ;None
347;4;;;Содержаніе техниковъ по сельскохозяйственной части и расходы по д?лопроизводству комитетовъ о ссудахъ на сельскохозяйственныя улучшенія;12360
;;1;;Расходы на содержаніе техниковъ по сельскохозяйственной части для нуждъ меліоративнаго кредита;5000
;;2;;Расходы по д?лопроизводству губернскихъ о ссудахъ на сельскохозяйственныя улучшенія комитетовъ;7360
348;5;—;;На выдачу ссудъ на сельскохозяйственныя улучшенія;1000000
349;6;;;Развитіе и поощреніе кустарной промышленности;1488884
;;1;;Содержаніе спеціалистовъ по кустарному производству;100000
;;2;;Содержаніе кустарнаго музея:;13199
;;;а;личный составъ;2919
;;;б;канцелярскіе и хозяйственные расходы;10280
;;3;;Содержаніе инструкторскихъ школъ по кустарнымъ производствамъ ;165685
