nn;chapter;article;paragraph;name;summ
38;7;;;Содержанiе местнаго ветеринарнаго управленiя;2146084
;;1;;Управленiя ветеринарною частью на Кавказе и въ Туркестане, ветеринарные испектора и ихъ помощники;235050
;;;а;Личный составъ;176300
;;;б;Канцелярскiе и хозяйственные расходы;58750
;;2;;Ветеринарные врачи, фельдшера и служители;1867354
;;3;;Разные расходы по ветеринарной части;43680
;;;;Общiе расходы по управленiю;None
39;8;;;Содержанiе местныхъ учрежденiй по крестьянскимъ деламъ;10981060
;;1;;Губернскiя и губернскiе по крестьянским деламъ присутствiя;1022543
;;;а;Личный составъ;638438
;;;б;Канцелярскiе и хозяйственные расходы;384105
;;2;;Уездныя учрежденiя по крестьянскимъ деламъ;9958517
;;;а;Личный составъ;8217782
;;;б;Канцелярскiе и хозяйственные расходы;1705735
;;;в;суточныя деньши кандидатамъ къ земскимъ начальникамъ, мировымъ посредникамъ и крестьянскимъ чиновникамъ;35000
40;9;;;Наемъ и содержанiе зданiй;1555000
;;1;;Наемъ помещенiй;605000
;;2;;Содержанiе зданiй;925000
;;3;;Меблированiе генералъ-губернаторскихъ и губернаторскихъ домовъ;25000
41;10;;;Разные расходы администрацiи;3022762
;;1;;Награды и пособiя;294150
;;2;;Пособiя на воспитанiе детей;83612
;;3;;Путевое довольствiе;1900000
;;4;;Телеграфные расходы;100000
;;5;;Выдача по местнымъ привилегiямъ службы;645000
;;;а;путевые пособiя;180000
;;;б;прибавочное жалованье;380000
;;;в;Пособiя на воспитанiе детей;85000
42;11;;;Разные расходы по управленiю;958246
;;1;;Экстраординарные расходы;496255
;;2;;Заготовленiе продовольственныхъ припасовъ для населенiя Приморской и Якутской областей;50000
;;3;;Судебныя издержки по уголовнымъ деламъ, решаемымъ земскими начальниками и уездными съездами;8500
;;4;;Содержанiе памятниковъ, сооруженiй и зданiй, имеющихъ историческое значенiе;16068
;;5;;Работы по проверке и исправленiю государственной границы между Россiей, Пруссiей, Австрiей и Румынiею;97023
;;6;;Расходы не подлежащiе оглашенiю;290400
;;;;Просвещенiе, науки и искусства;None
43;12;;;Содержанiе ученыхъ учрежденiй;194065
;;1;;Императорскiй Институтъ Экспериментальной Медицины;194065
;;;а;Личный составъ;80225
;;;б;Канцелярскiе и хозяйственные расходы;113840
44;13;;;Содержанiе высшихъ учебныхъ заведенiй;146306
;;1;;Институтъ Гражданскихъ Инженеровъ Императора Николая I-го;119806
;;;а;Личный составъ;47406
;;;б;Учебная часть;28900
;;;в;Стипендiи;12000
;;;г;Канцелярскiе и хозяйственные расходы;31500
;;2;;Статистическiе курсы Министерства Внутреннихъ Делъ;26500
;;;а;Личный составъ;3300
;;;б;Учебная часть;15800
;;;в;Канцелярскiе и хозяйственные расходы;7400
45;14;;;Содержанiе низштхъ учебныхъ заведенiй;5827
;;1;;Училище детей калмыковъ;2537
;;2;;Мусульманскiя училища в Тифлисе;3290
46;15;;;Пособiя по учебной и художественной частямъ;266580
;;1;;Учебнымъ заведенiямъ;2900
;;2;;Казанскому обществу археологiи, исторiи и этнографiи;300
;;3;;Обществу ревнителей русскаго историческаго просвещенiя въ память Императора Александра III;3000
;;4;;Императорскому Русскому Географическому Обществу;59735
;;5;;Публичнымъ библiотекам;3500
;;6;;Музеямъ;2100
;;7;;Музыкальнымъ обществамъ и содержимымъ ими учебнымъ заведенiямъ;139900
;;8;;Театральнымъ обществамъ и театрамъ;49345
;;9;;Ученымъ архивнымъ коммисiямъ;5800
;;;;Межевая часть;None
47;16;;;Производство межевыхъ работъ по земельному устройству сельскага населенiя;175000
;;1;;Межевые работы по земельному устройству крестьянъ и сельскихъ вечныъ чиншевиковъ;175000
;;;;Пути сообщенiя, кроме казенныхъ железныхъ дорогъ и порты;None
48;17;;;Расходы по грунтовымъ и воднымъ путямъ сообщенiя;21358
;;1;;Устройство, содержанiе и ремонтъ шоссейныхъ дорогъ, переправъ и перевозовъ;11358
;;2;;Пособiя земскiмъ сборамъ Приамурского края на дорожную часть;10000
49;18;;;Сооруженiе и ремонт зданiй;1200000
;;1;;Постройка зданiй, прiобретенiе недвижимыхъ имуществъ, приспособленiе и обородованiе помещенiй;600000
;;2;;Ремонтъ;600000
;;;;Пособiя и вознагражденiя по разнымъ случаямъ;None
50;19;;;Пособiя по разнымъ случаямъ;357087
;;1;;Земствамъ по случаю недостаточности земскихъ средствъ;27500
;;2;;Учрежденiямъ общественнаго призренiя и благотворительнымъ;117173
;;3;;На изданiе газет;18225
;;4;;Частнымъ лицамъ;194189
51;20;;;Вознагражденiя за отошедшiе въ казну имущества, доходы и пр;51203
;;1;;Городамъ, взаменъ отмененныхъ доходовъ;23556
;;2;;Разнымъ учрежденiямъ взаменъ отошедихъ отъ нихъ именiй, сборовъ и проч;7950
;;3;;Частнымъ лицамъ за отошедшiя отъ нихъ именiя;19697
;;;;Церковное управленiе и духовенство;None
;;;;Общiе расходы по управленiю;None
52;21;;;Содержанiе центральныхъ учрежденiй;122315
;;1;;Департаментъ Духовныхъ Делъ Иностранныхъ Исповеданiй;69925
;;;а;Личный составъ;66175
;;;б;Канцелярскiе и хозяйственные расходы;3750
;;2;;Канцелярiя Армяно-Грегорiанского Синода;11732
;;;а;Личный составъ;11032
;;;б;Канцелярскiе и хозяйственные расходы;700
;;3;;Римско-Католическая Духовная Коллегiя;22718
;;;а;Личный составъ;22118
;;;б;Канцелярскiе и хозяйственные расходы;600
;;4;;Евангелическо-Лютеранская Генеральная Консисторiя;17940
;;;а;Личный составъ;15607
;;;б;Канцелярскiе и хозяйственные расходы;2333
53;22;;;Содержанiе местныхъ учрежденiй;138829
;;1;;Армяно-Грегорiанская Консисторiя;2401
;;2;;Римско-Католiческiя Консисторiи;42345
;;;а;Личный составъ;36644
;;;б;Канцелярскiе и хозяйственные расходы;5701
;;3;;Евангелическiя Консисторiи;38906
;;;а;Личный составъ;31697
;;;б;Канцелярскiе и хозяйственные расходы;7209
;;4;;Магометанскi духовныя управленiя;55177
;;;а;Личный составъ;43534
;;;б;Канцелярскiе и хозяйственные расходы;11643
;;;;Духовенство;None
54;23;;;Духовенство иностранныхъ исповеданiй;1422658
;;1;;Римско-Католическое;1361122
;;;а;въ Имперiи;491776
;;;б;въ Царстве Польскомъ и Закавказскомъ крае;869346
;;2;;Евангелическое;60436
;;3;;Магометанское;1100
55;24;;;Содержанiе и ремонтъ кафедральныхъ соборовъ въ С-Петербурге и Москве;110276
;;1;;Исаакiевскiй соборъ въ С-Петербургt;51887
;;2;;Храмъ Христа Стасителя въ Москве;58389
;;;;Просвященiе, науки и искусства;None
56;25;;;Содержанiе высшихъ духовно-учебныхъ заведенiй римско-католическаго исповеданiя;52900
;;1;;Римско-Католическая Духовная Академiя;52900
;;;а;Личный составъ;23769
;;;б;Канцелярскiе и хозяйственные расходы;29131
57;26;;;Содержанiе среднихъ духовно-учебныхъ заведенiй римско-католическаго исповеданiя;82372
;;1;;Римско-Католическiя духовныя семинарiи;82372
;;;а;Личный составъ;45505
;;;б;Канцелярскiе и хозяйственные расходы;36867
;;;;Расходы по оброне государства;None
;;;;Общiе расходы по управленiю;None
58;27;;;Содержанiе центральныхъ учрежденiй;72298
;;1;;Управленiе по деламъ по воинской повинности;72298
;;;а;Личный составъ;53298
;;;б;Канцелярскiе и хозяйственные расходы;19000
59;28;;;Содержанiе местныхъ учрежденiй;1067950
;;1;;Присутствiя по воинской повинности;1067950
;;;а;Личный составъ;536089
;;;б;Канцелярскiе и хозяйственные расходы;531861
60;29;;;Расходы по призыву новобранцевъ до приема на службу;1250000
;;;;Пособiя и вознагражденiе по разнымъ случаямъ;None
61;30;;;Пособiя городамъ по воинской повинности;127250
;;;;Гражданское управленiе;None
62;31;;;На расходы по выборамъ в Государственную Думу;550000
;;;;Главное Управленiе Почтъ и Телеграфовъ;73264477
;;;;Гражданское управленiе;None
;;;;Общiе расходы по управленiю;None
63;1;;;Содержанiе центральныхъ учрежденiй;337306
;;1;;Главное Управленiе Почтъ и Телеграфовъ;317306
;;;а;Личный составъ;283249
;;;б;Канцелярскiе и хозяйственные расходы;28200
;;;в;содержанiе церкви;5857
;;2;;Содержанiе зданiй;20000
64;2;;;Содержанiе местныхъ учрежденiй;1283919
;;1;;Управленiя почтово-телеграфными округами;957697
;;;а;Личный составъ;767307
;;;б;квартирное довольствiе;90000
;;;в;Канцелярскiе и хозяйственные расходы;100390
;;2;;Управленiя перевозки почтъ по железнымъ дорогамъ;121343
;;;а;Личный составъ;97290
;;;б;Канцелярскiе и хозяйственные расходы;4885
;;;в;квартирное довольствiе;19168
;;3;;Наёмъ помещенiй и содержанiе зданiй;128879
;;4;;На усиленiе средств;50000
;;5;;Выдачи по местнымъ привилегiямъ службы;26000
;;;а;путевое пособiе;6000
;;;б;прибавочное жалованье;19000
;;;в;Пособiя на воспитанiе детей;1000
65;3;;;Разные расходы администрацiи;229010
;;1;;Путевое довольствiе;75000
;;2;;Награды и пособiя;150000
;;;а;испрашиваемыя на общемъ основанiи на одинъ годъ;55000
;;;б;испрашиваемыя на особомъ основанiи на двухлетнiй перiодъ;95000
;;3;;Пособiя на воспитанiе детей;4010
66;4;;;Разные расходы по управленiю;45647
;;1;;Содержанiе международныхъ почтово-телеграфныхъ бюро въ Берне;5250
;;2;;Спецiальныя изданiя;36000
;;3;;Чрезвычайные расходы;4397
;;;;Почта, телеграфъ и телефонъ;None
67;5;;;Содержанiе почтово-телеграфныхъ и телефонныхъ учрежденiй;47961118
;;1;;Почтово-телеграфные учрежденiя;38177577
;;;а;Личный составъ;29103215
;;;б;квартирное довольствiе;3999108
;;;в;Добавочное вознагражденiе за передачу депешъ на английскомъ языке;64484
;;;г;Добавочное вознагражденiе за работу на скородействующихъ аппаратахъ;493206
;;;д;Добавочное вознагражденiе за службу в отдаленныхъ местностяхъ;73412
;;;е;Канцелярскiе и хозяйственные расходы;4444152
;;2;;Правительственныя телефонныя сети;1631121
;;;а;Личный составъ;1345435
;;;б;квартирное довольствiе;236841
;;;в;Канцелярскiе и хозяйственные расходы;48845
;;3;;Наемъ помещенiй и содержанiе зданiй;2749466
;;4;;Железнодорожные почтовыя учрежденiя;2489787
;;;а;Личный составъ;1291979
;;;б;путевое довольствiе разъезднымъ чинамъ;698142
;;;в;Канцелярскiе и хозяйственные расходы;249960
;;;г;квартирное довольствiе;249706
;;5;;Производство почтовыхъ операцiй въ волостныхъ правленiяхъ и на железнодорожныхъ станцiяхъ;560000
;;6;;Путевое довольствiе;300000
;;7;;На усиленiе средств;150000
;;8;;Награды и пособiя;1480120
;;9;;Пособiя служащимъ по случаю пожарныхъ убытковъ;8000
;;10;;Пособiя на воспитанiе детей;139047
;;;а;испрашиваемыя на общемъ основанiи на одинъ годъ;4047
;;;б;испрашиваемыя на особомъ основанiи на двухлетнiй перiодъ;135000
;;11;;Леченiе нижнихъ служителей;17000
;;12;;Выдача по местнымъ привилегiямъ службы;259000
;;;а;путевое пособiе;19000
;;;б;прибавочное жалованье;190000
